"","gene_index","negative_log_likelihood","mu","k1","k2","t0","phi","sd","alpha","beta","t0_lower","t0_upper","t0_std","k1_lower","k1_upper","k1_std","k2_lower","k2_upper","k2_std","mu_lower","mu_upper","mu_std","Fisher","Transform","Design_para"
"1","CCL5",191663.614922355,11.1380247912199,7.88028064445111,0.91177344976451,0.791502479319743,NA,NA,NA,NA,0.772,0.811,0.0100084042971812,7.058,8.702,0.419457824734761,-0.969,2.793,0.959680575746828,10.882,11.395,0.130874958652138,"Non-singular",0,NA
"2","CXCL10",169693.35840971,6.12024841025514,1.75802258978435,8.72627093730052,0.556521897731939,NA,NA,NA,NA,0.522,0.591,0.0174467888052657,1.178,2.338,0.296101676455746,6.54,10.913,1.11561588836285,5.964,6.277,0.0798604140019452,"Non-singular",0,NA
"3","LYZ2",211794.399550507,11.0788787379688,0.354092717671529,16.5227298021244,0.57452791074803,NA,NA,NA,NA,0.559,0.59,0.007944606667196,0.162,0.547,0.0982556139299386,14.282,18.763,1.14302443641955,10.912,11.246,0.0850506081548874,"Non-singular",0,NA
"4","CCL4",169221.22588238,5.79651123589108,1.27019043745456,5.86311589120937,0.517021652050192,NA,NA,NA,NA,0.472,0.562,0.0229139368385608,0.607,1.934,0.338537535929083,4.198,7.528,0.849524112159385,5.638,5.955,0.080879911762008,"Non-singular",0,NA
"5","IL12B",156946.131488272,7.44579811368891,3.77157944535174,99,0.933018752164232,NA,NA,NA,NA,0.902,0.964,0.015791413155303,3.336,4.208,0.222478746934764,-31.243,229.243,66.4507384020976,7.194,7.698,0.128720130244292,"Non-singular",0,NA
"6","CCL22",127258.996043704,4.62219666745763,0.244356849461602,42.6379267758821,0.58318025590031,NA,NA,NA,NA,0.559,0.607,0.0122048704280519,-0.178,0.667,0.2154816822101,29.396,55.88,6.75604036404761,4.454,4.791,0.0858913759965493,"Non-singular",1,NA
"7","IL1B",170200.838119889,8.06782393267991,1.10597427216539,5.78637478335495,0.542443058449833,NA,NA,NA,NA,0.507,0.578,0.0179822544548216,0.687,1.525,0.213562427106195,4.423,7.15,0.695758594517269,7.911,8.224,0.0798032463978669,"Non-singular",0,NA
"8","LYZ1",136847.996603303,8.95833446479727,0.564609420947605,10.8275044330736,0.547951793717723,NA,NA,NA,NA,0.525,0.571,0.0115965559239732,0.275,0.854,0.147879697498385,8.998,12.657,0.933209773828601,8.792,9.125,0.0850048318470194,"Non-singular",0,NA
"9","GM11428",217634.975046989,10.6510350597378,0.175540803792349,36.6326573730378,0.62308309821177,NA,NA,NA,NA,0.611,0.635,0.00612873606803865,0.024,0.327,0.0774063576900616,31.24,42.025,2.75127943014612,10.487,10.815,0.0835344292315907,"Non-singular",0,NA
"10","H2-AA",64580.3078060044,4.17377087374649,1.4434566888911,24.7283442083532,0.610439550759496,NA,NA,NA,NA,0.579,0.642,0.0160879561365025,0.892,1.995,0.2816000206607,16.922,32.535,3.98287504689904,4.015,4.333,0.0811209895832609,"Non-singular",1,NA
"11","CCR7",110664.011132158,8.94311430809178,0.323060697646312,-8.86296023752944,0.468967402242819,NA,NA,NA,NA,0.466,0.472,0.00174555539101211,0.008,0.638,0.160859958056442,-9.041,-8.685,0.0908815368033909,8.906,8.98,0.0186945453303508,"Non-singular",1,NA
"12","H2-EB1",77610.6141455931,4.37206526498344,2.77074648931062,28.0407300794784,0.547389446289588,NA,NA,NA,NA,0.523,0.572,0.0126399492435252,1.925,3.617,0.431630345787808,20.514,35.568,3.84021932415207,4.203,4.541,0.086094618013582,"Non-singular",1,NA
"13","RSAD2",123627.148509593,7.42470391612698,35.6222123227652,2.16700758463901,0.540845159826428,NA,NA,NA,NA,0.526,0.555,0.00732742265826184,29.245,41.999,3.25345031757015,1.67,2.664,0.253550705273414,7.235,7.614,0.0965967193581613,"Non-singular",0,NA
"14","CCL17",47406.9290934442,3.99887420335308,3.13252918838446,3.50436422303721,0.519127990747622,NA,NA,NA,NA,0.452,0.587,0.0344479007266807,1.559,4.706,0.802652770369281,1.936,5.073,0.800189454022749,3.854,4.144,0.0738857097821521,"Non-singular",1,NA
"15","IFITM3",127500.984063167,7.78977583849564,0.965932252384911,56.4421109310475,0.945170381282728,NA,NA,NA,NA,0.88,1.01,0.0332212762676622,0.779,1.153,0.0953648415128225,-119.66,232.544,89.8481457684602,7.581,7.998,0.106376458166669,"Non-singular",0,NA
"16","EAR2",122009.591210588,7.29593317083994,9.02418359282115,2.22448058607163,0.270412962874204,NA,NA,NA,NA,0.233,0.308,0.0192229412001032,3.468,14.58,2.83457828658577,1.873,2.576,0.179253113258777,7.123,7.468,0.0880435953229567,"Non-singular",0,NA
"17","IL6",141026.799867749,6.28564842663789,1.00372135208267,5.72544277968779,0.751123972813471,NA,NA,NA,NA,0.685,0.817,0.0336917610853512,0.69,1.317,0.159943405157524,0.745,10.706,2.54118145628188,6.129,6.443,0.0801143862360219,"Non-singular",0,NA
"18","SPP1",110095.572842581,6.9013971450816,7.66013001038837,2.08584031264841,0.227164205701638,NA,NA,NA,NA,0.179,0.276,0.0246765896836086,0.319,15.001,3.74548612092314,1.715,2.457,0.189206535731091,6.708,7.095,0.0985834948942284,"Non-singular",0,NA
"19","CXCL3",106228.277849644,4.37629313803817,0.507475612169567,23.9472257124459,0.636557804737638,NA,NA,NA,NA,0.603,0.67,0.0172509351703113,0.13,0.885,0.192703862842781,15.781,32.113,4.16636961876747,4.218,4.535,0.0807542458800743,"Non-singular",0,NA
"20","H2-AB1",59270.5668440247,4.47892805519991,4.65314324056196,17.2946599685857,0.524576700847217,NA,NA,NA,NA,0.498,0.551,0.01347995519673,3.42,5.887,0.629329480194415,13.287,21.302,2.04459576312073,4.314,4.644,0.0842374369868579,"Non-singular",1,NA
"21","IL1A",115413.686960598,6.58397550290926,2.59681051641224,3.28163378059262,0.402622299736728,NA,NA,NA,NA,0.357,0.448,0.0233888675535343,1.127,4.067,0.75009159589726,2.537,4.026,0.379946861907372,6.418,6.75,0.0847605817054547,"Non-singular",0,NA
"22","CCL3",129287.457967745,6.49512363816289,12.6122548061702,0.868566296391322,0.217051093002072,NA,NA,NA,NA,0.16,0.274,0.0291864819941806,0.345,24.88,6.25891860987984,0.665,1.072,0.103671226141138,6.34,6.65,0.0791371770249833,"Non-singular",0,NA
"23","CD14",134159.138247733,6.70306281923818,0.108828332368835,-5.57920349867851,0.752354773693001,NA,NA,NA,NA,0.735,0.769,0.00865682770263163,0.002,0.216,0.0544289711455486,-6.364,-4.795,0.400283146730056,6.634,6.772,0.0351447441571755,"Non-singular",0,NA
